subject,sessionIndex,rep,UD.period.t,UD.t.i,UD.i.e,UD.e.five,UD.five.Shift.r,UD.Shift.r.o,UD.o.a,UD.a.n,UD.n.l,UD.l.Return
s008,6,31,0.0414,0.0507,0.0188,0.1884,0.2009,0.0359,-0.034,0.0082,-0.0225,0.068
s008,6,32,0.0683,0.0478,-0.0124,0.11,0.2186,0.0267,-0.0256,-0.015,-0.0167,0.0635
s008,6,33,0.1266,0.0644,0.0504,0.1201,0.2094,0.0504,-0.0137,-0.0298,-0.0352,0.0551
s008,6,34,0.1116,0.0227,0.0367,0.1206,0.1973,0.0222,-0.0248,-0.0359,-0.0317,0.0598
s008,6,35,0.067,0.0243,-0.0069,1.1282,0.2373,0.0357,-0.0422,0.0138,-0.028,0.0814
s008,6,36,0.0931,0.0383,0.0198,0.1359,0.1927,0.0605,-0.0604,0.0011,-0.023,0.0799
s008,6,37,0.073,0.0357,0.0151,0.0876,0.1872,0.0367,-0.0219,-0.0372,-0.0428,0.0822
s008,6,38,0.0947,0.0285,0.0267,0.0932,0.2209,0.0275,0.0339,-0.0438,-0.0663,0.0696
s008,6,39,0.1015,0.2732,0.0589,0.6697,0.2453,0.046,-0.015,0.0056,-0.0288,0.0677
s008,6,40,0.0298,0.0346,-0.028,0.099,0.2081,0.0209,0.0328,-0.0678,-0.0349,0.0854
s008,6,41,0.0619,0.0035,0.0151,0.0932,0.2191,0.0161,-0.0031,-0.0493,-0.0307,0.058
s008,6,42,0.0464,0.047,0.0296,0.1108,0.2098,0.0673,-0.0108,-0.0245,-0.0241,0.0751
s008,6,43,0.0276,0.0291,0.0124,0.1227,0.3157,0.09,0.0043,-0.0087,-0.046,0.0609
s008,6,44,0.0646,0.013,0.0082,0.095,0.2046,0.0668,0.0022,-0.0121,-0.0391,0.0746
s008,6,45,0.053,0.0491,0.0153,0.1235,0.2007,0.0267,-0.0021,-0.0319,-0.0331,0.0527
s008,6,46,0.04,0.0383,0.0109,0.1348,0.2588,0.0544,0.0233,-0.0222,-0.0431,0.0392
s008,6,47,0.0588,0.0182,0.0066,0.0805,0.2484,0.0731,-0.0013,-0.0048,-0.0309,0.0614
s008,6,48,0.0857,0.0296,0.0351,0.0847,0.2363,0.2188,0.0687,-0.0333,0.119,0.1485
s008,6,49,0.0319,0.0328,0.0262,0.1187,0.1982,0.0541,0.0194,-0.0354,-0.0331,0.0867
s008,6,50,0.0746,0.0058,0.0248,0.1327,0.2057,0.0206,-0.0192,-0.0156,-0.0302,0.0601
s008,7,1,0.1337,0.0098,0.0325,0.175,0.2661,0.0085,-0.0058,-0.0032,-0.0217,0.1184
s008,7,2,0.0474,0.0116,0.0185,0.1219,0.1991,0.0235,-0.0089,-0.0048,-0.0154,0.1105
s008,7,3,0.0385,0.0351,0.0066,0.1372,0.1981,0.032,-0.0232,0.0035,-0.0241,0.0857
s008,7,4,0.0857,0.0101,0.0233,0.1085,0.209,0.0074,-0.005,-0.0124,-0.0222,0.0714
s008,7,5,0.0965,-0.0014,0.0401,0.1079,0.1867,0.019,0.0188,-0.0673,-0.0209,0.0933
s008,7,6,0.0451,0.0452,0.0151,0.1211,0.2278,0.0312,-0.0177,0.0098,-0.0288,0.0841
s008,7,7,0.0741,0.0204,0.0354,0.0995,0.2859,0.027,0.0312,-0.0013,-0.0338,0.0957
s008,7,8,0.0593,0.0161,0.023,0.1122,0.6387,0.0525,0.008,0.0156,-0.0175,0.0851
s008,7,9,0.3572,0.0045,0.0116,0.1042,0.2107,0.0322,-0.0158,-0.0071,-0.0207,0.0727
s008,7,10,0.0812,0.0251,0.0296,0.1037,0.2009,0.0156,0.0046,0.0011,-0.0185,0.0809
s008,7,11,0.0743,0.0275,0.0151,0.1261,0.2099,0.2824,0.083,-0.0362,-0.0075,0.0899
s008,7,12,0.0923,0.0016,0.0254,0.1124,0.2049,0.0143,0.013,-0.0288,-0.0185,0.0725
s008,7,13,0.058,0.0251,0.0225,0.0947,0.3851,0.0394,0.0146,0.0156,-0.0077,0.0836
s008,7,14,0.0773,0.0045,0.0407,0.1032,0.2392,0.0206,0.0099,-0.1,-0.0143,0.1569
s008,7,15,0.1081,-0.0014,0.0143,0.1034,0.2012,0.018,-0.0316,0.0011,-0.0262,0.0917
s008,7,16,0.0524,0.0145,0.0172,0.0968,0.1682,0.0438,-0.0269,0.0381,-0.0183,0.0767
s008,7,17,0.0823,-0.008,0.0573,0.076,0.1898,0.0689,0.0136,0.0608,-0.0373,0.1179
s008,7,18,0.1699,0.0132,0.0219,0.0879,0.1864,0.0404,0.0149,-0.0533,-0.0204,0.0865
s008,7,19,0.0926,0.0103,0.0182,0.0984,0.2022,0.0335,0.0418,-0.0781,-0.0048,0.0888
s008,7,20,0.1145,0.0335,0.0077,0.1433,0.2175,0.0702,0.0312,0.1412,0.0198,0.1052
s008,7,21,0.153,0.042,0.0523,0.1251,0.2091,0.0206,0.0085,-0.0013,-0.0177,0.1274
s008,7,22,0.2881,0.0457,0.0035,0.1166,0.2064,0.0679,0.0078,0.0257,-0.0098,0.0994
s008,7,23,0.0952,-0.0085,0.0304,0.0963,0.1616,0.0122,0.0508,-0.0987,-0.022,0.292
s008,7,24,0.0791,0.0032,0.0048,0.0858,0.1672,0.0502,-0.0221,0.0354,-0.0207,0.0912
s008,7,25,0.0883,0.008,0.0143,0.0902,0.192,0.0412,-0.0285,-0.0311,-0.0138,0.0857
s008,7,26,0.0556,0.0167,0.0132,0.0776,0.1798,0.0161,-0.0034,-0.0153,-0.0177,0.0735
s008,7,27,0.0773,0.0217,0.0014,0.08,0.1666,0.0399,0.0114,-0.0013,-0.0294,0.1004
s008,7,28,0.0509,0.0201,0.0014,0.104,0.2597,0.2635,0.0764,-0.0121,-0.0299,0.0872
s008,7,29,0.0683,0.0151,0.0256,0.1098,0.1698,0.0855,0.0674,-0.0032,-0.0056,0.1041
s008,7,30,0.1411,0.0185,-0.0027,0.1074,0.2178,0.07,0.0112,-0.0148,-0.0233,0.0973
s008,7,31,0.1131,0.0196,0.0929,0.1641,0.175,0.014,-0.0023,-0.0253,-0.0262,0.1057
s008,7,32,0.0429,0.0111,-0.0098,0.0924,0.1563,0.0217,0.0154,-0.0641,-0.0383,0.0777
s008,7,33,0.0377,0.0417,-0.0011,0.1172,0.2645,0.1148,-0.0161,-0.0201,-0.0312,0.069
s008,7,34,0.0912,0.0198,-0.0111,0.2913,0.2308,0.0145,-0.0163,-0.0187,-0.0151,0.0651
s008,7,35,0.0746,0.0148,0.0175,0.0976,0.1824,0.0243,-0.0377,0.0325,-0.032,0.0738
s008,7,36,0.0633,0.0357,-0.0066,0.1103,0.2167,0.1539,-0.0079,-0.0032,-0.0228,0.0524
s008,7,37,0.0836,0.0024,-0.0029,0.1082,0.2283,0.0341,-0.0116,-0.015,-0.004,0.0725
s008,7,38,0.0662,0.0127,0.0172,0.1209,0.2201,0.0874,0.0017,-0.0034,-0.0296,0.0735
s008,7,39,0.0733,0.0043,0.013,0.09,0.16,0.0138,-0.0013,-0.0488,-0.018,0.0796
s008,7,40,0.0419,0.0254,0.0061,0.1127,0.5694,0.0689,0.0405,-0.0457,-0.0344,0.0706
s008,7,41,0.0746,0.0098,0.0206,0.0905,0.1648,-0.0014,0.003,-0.0248,0.0103,0.1097
s008,7,42,0.0688,0.0359,0.0156,0.128,0.2054,0.0454,0.0114,-0.0623,-0.0265,0.0952
s008,7,43,0.1936,0.0489,0.0082,0.1132,0.202,0.0452,0.0138,-0.0164,-0.027,0.0999
s008,7,44,0.1646,0.0259,0.114,0.3312,0.2064,0.051,-0.0171,-0.0235,-0.0251,0.0783
s008,7,45,0.0883,0.0378,0.0106,0.1124,0.1611,0.0138,-0.0018,-0.0459,-0.0214,0.0867
s008,7,46,0.0625,-0.009,0.0309,0.0757,0.163,0.0014,0.0318,-0.0697,-0.0299,0.0661
s008,7,47,0.0812,-0.0285,0.027,0.0736,0.1486,0.0101,0.0444,-0.0486,-0.0246,0.0941
s008,7,48,0.1554,0.0011,0.0454,0.1077,0.1729,0.0098,0.0286,-0.0269,-0.0214,0.0817
s008,7,49,0.049,0.0148,-0.0053,0.0647,0.1624,0.0415,0.0125,0.0236,-0.0573,0.0741
s008,7,50,0.0994,-0.0259,0.0438,0.1465,0.3094,0.0367,-0.0029,0.0193,-0.0209,0.068
s008,8,1,0.0548,0.038,0.0103,0.2523,0.1882,0.023,-0.0454,0.0399,-0.0175,0.1221
s008,8,2,0.0435,0.0285,-0.0027,0.0881,0.2012,0.0132,-0.0066,-0.0087,-0.0046,0.1076
s008,8,3,0.0604,-0.0021,0.033,0.0768,0.1901,-0.0087,-0.0129,-0.0077,-0.023,0.1055
s008,8,4,0.0451,0.0182,0.0153,0.1058,0.2004,0.038,-0.0301,0.0217,-0.0138,0.1184
s008,8,5,0.0503,0.0341,0.0283,0.5684,0.2215,0.0053,0.0014,-0.0264,-0.0225,0.1015
s008,8,6,0.0685,0.0211,-0.0056,0.1755,0.2048,0.0264,-0.0042,-0.0034,-0.0162,0.1136
s008,8,7,0.0815,0.0159,0.0132,0.0934,0.17,0.0425,-0.0271,0.0336,-0.0307,0.1654
s008,8,8,0.0432,0.019,0.027,0.0826,0.2146,0.0555,-0.0177,0.017,-0.0307,0.1076
s008,8,9,0.0371,0.0386,0.0014,0.1003,0.2695,0.0525,-0.0113,0.0151,-0.0193,0.0712
s008,8,10,0.0646,0.0341,0.0214,0.0924,0.2254,0.024,-0.0013,-0.0156,-0.028,0.0828
s008,8,11,0.0408,0.0335,0.0145,0.1462,0.1869,0.0599,-0.0301,0.0523,-0.0457,0.0767
s008,8,12,0.0543,0.0254,-0.005,0.104,0.193,0.0204,0.0041,-0.014,-0.0333,0.0709
s008,8,13,0.0778,0.2024,0.1726,0.1407,0.1998,0.0227,-0.0013,-0.0306,-0.0109,0.0894
s008,8,14,0.0495,0.0452,0.0109,0.1048,0.1737,0.018,-0.0026,-0.0029,-0.0222,0.0696
s008,8,15,0.0334,0.0425,0.0116,0.0889,0.2025,0.0465,0.0012,0.0162,-0.0172,0.0746
s008,8,16,0.0685,-0.0066,0.0539,0.0955,0.2181,0.0547,0.0046,-0.0317,-0.0333,0.0564
s008,8,17,0.1034,0.0293,0.0058,0.1169,0.1798,0.0557,0.0012,0.0059,-0.013,0.0891
s008,8,18,0.0633,0.0161,0.0473,0.076,0.2078,0.1639,-0.0224,0.017,-0.0175,0.0775
s008,8,19,0.049,0.0365,0.0032,0.0879,0.1838,0.0549,-0.0242,0.0552,-0.032,0.0878
s008,8,20,0.049,0.0238,0.004,0.0821,0.1792,0.0338,0.0344,-0.0063,-0.0267,0.0712
s008,8,21,0.0899,0.0264,0.0114,0.1201,0.1782,0.0145,0.008,-0.0346,-0.0383,0.0661
s008,8,22,0.0305,0.0277,-0.0135,0.0744,0.1849,0.0428,-0.0337,-0.0069,-0.0209,0.0801
s008,8,23,0.011,0.0523,-0.0436,0.2797,0.1763,0.0256,0.0278,-0.0346,-0.0349,0.0772
s008,8,24,0.0445,0.0095,0.0098,0.0866,0.1816,0.0314,0.0078,-0.0351,-0.0291,0.0783
s008,8,25,0.0656,0.0824,0.1919,0.508,0.1935,0.0045,0.0373,-0.0301,-0.0399,0.0719
s008,8,26,0.0662,0.0145,0.0267,0.0713,0.1759,0.0177,-0.005,-0.0517,-0.0323,0.0456
s008,8,27,0.0203,0.0375,-0.0074,0.0881,0.1809,0.0523,-0.0111,-0.0143,-0.0286,0.073
s008,8,28,0.039,0.0193,-0.0122,0.0897,0.4017,0.0882,0.0621,-0.0533,-0.0299,0.0582
s008,8,29,0.0464,0.0454,0.0037,0.1726,0.165,0.0209,-0.0058,-0.0248,-0.0199,0.0651
s008,8,30,0.0667,0.0066,0.0148,0.0752,0.2189,0.0671,0.003,-0.0145,-0.0246,0.0463
s008,8,31,0.0422,0.0747,0.0235,0.1647,0.1484,0.0175,0.0012,-0.0259,-0.0225,0.0696
s008,8,32,0.0461,0.0214,0.0014,0.0815,0.1518,0.0172,-0.0063,-0.0269,-0.0069,0.05
s008,8,33,0.0493,0.0156,0.0072,0.0839,0.1825,0.019,-0.015,-0.014,-0.0151,0.0577
s008,8,34,0.0472,0.0135,0.0116,0.0871,0.1523,-0.0027,0.0239,-0.0032,-0.0175,0.0788
s008,8,35,0.0704,0.0238,-0.0388,0.2185,0.4976,0.0956,-0.0237,0.0542,0.2747,0.282
s008,8,36,0.4454,0.0998,0.057,0.1794,0.2191,0.038,-0.048,0.0365,-0.0119,0.0775
s008,8,37,0.1255,0.047,0.0148,0.4513,0.1991,0.0114,-0.0066,0.0024,-0.0075,0.0841
s008,8,38,0.0714,0.0351,0.008,0.1,0.1576,0.023,0.0012,0.0011,0.0019,0.0954
s008,8,39,0.0809,0.0254,0.033,0.0852,0.1645,0.0093,0.0289,0.008,-0.017,0.0817
s008,8,40,0.0625,-0.0035,0.0251,0.0892,0.1595,0.0151,0.0012,-0.0206,-0.0199,0.0833
s008,8,41,0.0751,0.0177,0.0114,0.2182,0.2015,0.0243,-0.0153,0.0069,-0.0167,0.0902
s008,8,42,0.0662,-0.0045,0.018,0.0897,0.1519,0.005,-0.0103,-0.0193,-0.0243,0.0733
s008,8,43,0.1374,0.0425,0.0523,0.1441,0.1729,0.0014,0.0128,-0.0425,-0.028,0.1044
s008,8,44,0.1218,0.0106,0.0299,0.0926,0.1608,0.018,0.0199,-0.0375,-0.0241,0.1004
s008,8,45,0.0693,0.0496,0.0293,0.1454,0.159,0.0024,0.0093,-0.0172,-0.0114,0.0857
s008,8,46,0.1335,0.0085,0.0291,0.1253,0.1663,0.009,0.0064,-0.0132,-0.0386,0.126
s008,8,47,0.0097,0.0378,0.0021,0.2174,0.1722,0.0143,-0.0058,-0.0303,-0.0296,0.1052
s008,8,48,0.0517,0.0499,0.0122,0.1478,0.3155,0.047,-0.0145,0.0048,-0.0331,0.0807
s008,8,49,0.0538,0.3674,0.013,0.2098,0.1899,0.0151,-0.0314,-0.0092,-0.0241,0.0888
s008,8,50,0.2039,0.0132,0.0175,0.1111,0.1796,0.0193,-0.0166,-0.0396,-0.0154,0.0627
s010,1,1,0.0712,0.1251,0.132,0.4325,0.5954,0.0866,0.046,0.0645,0.1259,0.1548
s010,1,2,0.0664,0.3159,0.0898,0.5333,0.2423,0.0829,0.045,0.0911,0.1839,0.6179
s010,1,3,0.2039,0.0758,0.0937,0.2459,0.341,0.1317,0.1144,0.1584,0.1678,0.5868
s010,1,4,0.068,0.1241,0.0993,0.5708,0.4564,0.0858,0.0394,0.0821,0.1301,0.1173
s010,1,5,0.0316,0.0998,0.0842,0.199,0.2204,0.0692,0.045,0.0478,0.1301,0.1408
s010,1,6,0.0899,0.0781,0.0679,0.2037,0.2102,0.0905,0.0531,0.0594,0.3868,0.2334
s010,1,7,0.0712,0.085,0.0795,0.2248,0.2041,0.0921,0.3442,0.0732,0.1375,0.1551
s010,1,8,0.0503,0.0628,0.114,0.3354,0.364,0.088,0.031,0.0452,0.138,0.1168
s010,1,9,0.1401,0.0966,0.0475,0.2594,0.307,0.0639,0.0595,0.0296,0.1478,0.1424
s010,1,10,0.2596,0.0512,0.0681,0.2064,0.2753,0.1022,0.0249,0.0697,0.1443,0.1427
s010,1,11,0.1329,0.0613,0.042,0.4953,0.3856,0.094,0.0703,0.0336,0.1715,0.149
s010,1,12,0.3992,0.3808,0.032,0.2124,0.3199,0.0864,0.0228,0.0484,0.1275,0.1105
s010,1,13,0.0174,0.0911,0.061,0.3043,0.4399,0.1222,0.0874,0.0373,0.1523,0.1205
s010,1,14,-0.0038,0.1016,0.0597,0.5931,0.2284,0.1244,0.0381,0.0513,0.1335,0.1047
s010,1,15,0.1253,0.1135,0.0702,0.1932,0.174,0.0686,0.0194,0.0439,0.1127,0.0925
s010,1,16,0.0263,0.2782,0.0489,0.2718,0.3764,0.0866,0.0392,0.0357,0.1325,0.1142
s010,1,17,0.0765,0.0446,0.0623,0.5351,0.2421,0.0805,0.0231,0.0489,0.1375,0.0936
s010,1,18,0.0174,0.1035,0.0684,0.2145,0.1993,0.0885,0.0508,0.0373,0.147,0.0962
s010,1,19,0.0337,0.0916,0.0628,0.1699,0.2048,0.0752,0.0254,0.0586,0.1362,0.1136
s010,1,20,0.0456,0.3774,0.062,0.289,0.341,0.0877,0.0769,0.041,0.1385,0.2258
s010,1,21,0.0659,0.29,0.0599,0.2855,0.3075,0.0861,0.0634,0.0365,0.1362,0.0709
s010,1,22,0.5266,0.2998,0.0449,0.5523,0.2387,0.0971,0.0429,0.0367,0.1348,0.0698
s010,1,23,0.0369,0.1072,0.0541,0.18,0.1935,0.0776,0.0328,0.042,0.1259,0.0825
s010,1,24,0.1767,0.0784,0.0771,0.1465,0.1957,0.1056,0.0444,0.0539,0.1602,0.0949
s010,1,25,0.0474,0.0993,0.0977,0.1969,0.2357,0.0999,0.55,0.0721,0.4103,0.115
s010,1,26,0.1224,0.0834,0.1085,0.2082,0.2242,0.081,0.0872,0.1104,0.1412,0.1329
s010,1,27,0.0548,0.0718,0.089,0.1892,0.1909,0.0663,0.0481,0.0407,0.1288,0.1033
s010,1,28,0.0432,0.1027,0.1103,0.2093,0.1669,0.0895,0.0985,0.0492,0.157,0.1632
s010,1,29,0.0464,0.089,0.0842,0.4146,0.2286,0.089,0.2708,0.0309,0.1341,0.0991
s010,1,30,0.3723,0.1225,0.0892,0.1916,0.1692,0.0729,0.051,0.032,0.1314,0.1221
s010,1,31,0.0435,0.1431,0.0829,0.3623,0.2099,0.0827,0.0669,0.027,0.1346,0.1163
s010,1,32,0.0688,0.2328,0.0618,0.1982,0.1885,0.0967,0.0315,0.0539,0.1589,0.1369
s010,1,33,0.0662,0.142,0.0671,0.2103,0.1949,0.0879,0.0281,0.0473,0.1275,0.0973
s010,1,34,0.2989,0.1064,0.1019,0.1649,0.1666,0.0898,0.026,0.0381,0.1235,0.0941
s010,1,35,0.086,0.3254,0.057,0.1681,0.1587,0.0829,0.036,0.0449,0.1259,0.0804
s010,1,36,0.0506,0.109,0.0837,0.1673,0.1938,0.0737,0.0436,0.4107,0.2496,0.1155
s010,1,37,0.058,0.0813,0.0644,0.2101,0.1837,0.0898,0.0183,0.055,0.1217,0.073
s010,1,38,0.0332,0.0969,0.0657,0.2502,0.2479,0.079,0.0589,0.0304,0.1298,0.1007
s010,1,39,0.0108,0.1322,0.081,0.176,0.1848,0.0908,0.0286,0.0523,0.129,0.1052
s010,1,40,0.1137,0.085,0.0636,0.1414,0.1764,0.0705,0.0436,0.0528,0.1296,0.4622
s010,1,41,0.0572,0.061,0.0322,0.181,0.2065,0.0921,0.0576,0.0478,0.1504,0.2097
s010,1,42,0.0366,0.0837,0.0444,0.1681,0.2737,0.0938,0.075,0.1003,0.1567,0.2949
s010,1,43,0.016,0.066,0.0304,0.1465,0.1845,0.0967,0.0294,0.0526,0.1414,0.2263
s010,1,44,0.1102,0.0639,0.1014,0.1976,0.1845,0.1104,0.0392,0.669,0.1554,0.154
s010,1,45,0.4522,0.0357,0.0423,0.1845,0.2473,0.0835,0.0418,0.046,0.123,0.2735
s010,1,46,0.1089,0.0494,0.0607,0.2409,0.1941,0.1022,0.0239,0.0489,0.1304,0.2239
s010,1,47,0.0377,0.0787,0.0642,0.1549,0.1804,0.1046,0.0207,0.0581,0.1607,0.2205
s010,1,48,0.0411,0.0673,0.0391,0.1639,0.1722,0.0747,0.0336,0.0457,0.1319,0.277
s010,1,49,0.0274,0.0869,0.0489,0.1523,0.1418,0.0816,0.0209,0.0695,0.1272,0.2427
s010,1,50,0.0488,0.056,0.037,0.1454,0.1821,0.0866,0.0384,0.0626,0.1763,0.2551
s010,2,1,0.03,0.1444,0.1161,0.2541,0.7137,0.1457,0.1109,0.0985,0.1496,0.2772
s010,2,2,0.0714,0.0808,0.0818,0.4122,0.2036,0.0821,0.0384,0.1238,0.1399,0.1347
s010,2,3,0.1453,0.4294,0.0481,0.2093,0.1933,0.0792,0.0283,0.0631,0.1325,0.0931
s010,2,4,0.0443,0.1074,0.0879,0.5985,0.2196,0.0961,0.0397,0.0484,0.1483,0.4269
s010,2,5,0.0559,0.1309,0.0665,0.1839,0.2096,0.0945,0.0386,0.041,0.143,0.1055
s010,2,6,0.1187,0.0982,0.0415,0.1779,0.1743,0.1008,0.0109,0.0811,0.1507,0.115
s010,2,7,0.2424,0.0845,0.0409,0.1705,0.2645,0.0784,0.0589,0.0236,0.1298,0.2999
s010,2,8,0.1839,0.123,0.0686,0.2071,0.2032,0.0729,0.0233,0.0597,0.1438,0.7316
s010,2,9,0.0738,0.1188,0.0552,0.1992,0.1669,0.0713,0.008,0.0692,0.1428,0.2279
s010,2,10,0.011,0.0916,0.0338,0.2048,0.2226,0.0842,0.003,0.0695,0.1272,0.1632
s010,2,11,0.1047,0.1407,0.028,0.2362,0.1706,0.0739,0.0107,0.0631,0.1449,0.1709
s010,2,12,0.086,0.1206,0.0655,0.1897,0.1616,0.0634,0.0173,0.0581,0.142,0.1287
s010,2,13,0.0298,0.0876,0.0507,0.1412,0.1376,0.0673,0.0637,0.0945,0.1367,0.3717
s010,2,14,0.0933,0.0839,0.0747,0.1604,0.2038,0.0692,0.0268,0.047,0.1472,0.1371
s010,2,15,0.0377,0.099,0.0539,0.1367,0.1548,0.0747,0.0151,0.0616,0.1512,0.2163
s010,2,16,0.0287,0.0887,0.0254,0.1657,0.1679,0.0908,-0.0074,0.0853,0.1351,0.2044
s010,2,17,0.0464,0.1029,0.0359,0.1702,0.1563,0.0776,0.0035,0.0668,0.1362,0.1997
s010,2,18,0.0361,0.1132,0.0642,0.1348,0.1495,0.0663,0.0455,0.0523,0.1399,0.1556
s010,2,19,0.1321,0.1837,0.071,0.1847,0.1685,0.0843,0.0431,0.0494,0.147,0.1933
s010,2,20,0.0783,0.1431,0.1111,0.2425,0.2405,0.071,0.0241,0.0486,0.1259,0.1925
s010,2,21,0.0635,0.0636,0.0428,0.148,0.4415,0.0549,0.0442,0.0309,0.1364,0.13
s010,2,22,0.0506,0.0734,0.0248,0.1367,0.1252,0.0565,0.0173,0.0531,0.1348,0.3115
s010,2,23,0.0773,0.066,0.0227,0.1393,0.1212,0.0568,0.0262,0.0449,0.142,0.1894
s010,2,24,0.077,0.0618,0.0322,0.1414,0.141,0.0734,0.017,0.0531,0.1459,0.1904
s010,2,25,0.087,0.0742,0.038,0.1407,0.1592,0.7943,0.056,0.1101,0.2905,0.1329
s010,2,26,0.0461,0.0594,0.0219,0.133,0.1637,0.0768,0.0349,0.0526,0.1404,0.3057
s010,2,27,0.0524,0.0594,0.0243,0.1309,0.1576,0.0628,0.032,0.0531,0.1491,0.3398
s010,2,28,0.039,0.0507,0.0391,0.1256,0.1808,0.0969,0.0146,0.0613,0.1578,0.2559
s010,2,29,0.0327,0.0874,0.0256,0.1338,0.1413,0.0623,0.0302,0.065,0.1552,0.278
s010,2,30,0.0638,0.0763,0.0486,0.1465,0.1505,0.0747,0.0223,0.0576,0.4808,0.1767
s010,2,31,0.0377,0.5816,0.0686,0.541,0.2291,0.0602,0.0304,0.0473,0.1433,0.1474
s010,2,32,0.0625,0.0916,0.033,0.1631,0.1661,0.0708,0.0357,0.0684,0.1644,0.1894
s010,2,33,0.0762,0.1148,0.0417,0.1633,0.1677,0.0729,0.0225,0.0547,0.1874,0.2427
s010,2,34,0.0474,0.0628,0.0299,0.1467,0.142,0.0523,0.022,0.0734,0.1699,0.1717
s010,2,35,0.0295,0.0882,0.0301,0.156,0.2392,0.0967,0.0341,0.535,0.1557,0.1189
s010,2,36,0.0337,0.0821,0.0262,0.1312,0.145,0.0718,0.022,0.0592,0.1549,0.1717
s010,2,37,0.0561,0.0884,0.0264,0.1607,0.1769,0.0879,0.0144,0.0642,0.1707,0.1865
s010,2,38,0.053,0.0808,0.0372,0.1499,0.2149,0.1209,0.0584,0.0494,0.2467,0.2337
s010,2,39,0.0759,0.0779,0.0549,0.157,0.1788,0.0845,0.0112,0.066,0.1784,0.2216
s010,2,40,0.0472,0.0832,0.0407,0.1881,0.1999,0.0715,0.0294,0.041,0.1581,0.1498
s010,2,41,0.124,0.0742,0.0317,0.1771,0.2304,0.0602,0.0352,0.0621,0.148,0.1524
s010,2,42,0.0147,0.1117,0.0169,0.142,0.1516,0.0869,0.0088,0.0779,0.1575,0.2292
s010,2,43,0.0216,0.1212,0.0639,0.1955,0.483,0.1642,0.0389,0.1763,0.2372,0.1997
s010,2,44,0.0398,0.0971,0.0211,0.1261,0.1463,0.0768,0.0344,0.0452,0.143,0.1493
s010,2,45,0.0377,0.089,0.0293,0.1652,0.3912,0.2164,0.0508,0.0747,0.1486,0.2282
s010,2,46,0.0134,0.137,0.0576,0.1689,0.1514,0.0916,0.0088,0.0755,0.1633,0.2068
s010,2,47,0.0435,0.1676,0.071,0.2169,0.1732,0.085,0.0054,0.0655,0.1686,0.2685
s010,2,48,0.0395,0.0855,0.0531,0.1858,0.283,0.1067,0.0196,0.0724,0.1681,0.6203
s010,2,49,0.0068,0.0663,0.0518,0.1354,0.135,0.0737,-0.0021,0.0652,0.1475,0.2353
s010,2,50,0.0221,0.1051,0.0386,0.1494,0.2621,0.1191,0.0405,0.1571,0.2013,0.2155
s010,3,1,0.0883,0.1618,0.1196,0.2647,0.245,0.066,0.0246,0.0439,0.1156,0.0857
s010,3,2,0.0714,0.1175,0.0365,0.1752,0.4316,0.0739,0.0407,0.0594,0.1145,0.1057
s010,3,3,0.0933,0.1172,0.0808,0.1404,0.1537,0.0854,0.0167,0.0935,0.1346,0.1044
s010,3,4,0.1026,0.279,0.0787,0.2689,0.2009,0.0766,0.0278,0.047,0.1172,0.0809
s010,3,5,0.1021,0.089,0.0839,0.1549,0.164,0.0697,0.0252,0.0608,0.1224,0.0857
s010,3,6,0.0933,0.1111,0.0813,0.1678,0.174,0.095,0.0146,0.0724,0.1375,0.1007
s010,3,7,0.0743,0.4967,0.0198,0.7352,0.1545,0.0642,0.027,0.0404,0.1137,0.0936
s010,3,8,0.0862,0.0979,0.0705,0.2285,0.1996,0.0945,0.0144,0.0605,0.1309,0.0814
s010,3,9,0.048,0.0718,0.0438,0.1383,0.1808,0.0879,0.0128,0.0492,0.1129,0.0994
s010,3,10,0.0931,0.0916,0.0689,0.1483,0.1945,0.0803,0.0257,0.0394,0.1322,0.0957
s010,3,11,0.1026,0.113,0.062,0.1509,0.165,0.0715,0.0191,0.0407,0.129,0.078
s010,3,12,0.0749,0.0771,0.0423,0.2932,0.1974,0.1032,0.0088,0.0674,0.1198,0.2179
s010,3,13,0.0844,0.1272,0.0525,0.1903,0.2038,0.1106,0.0173,0.0507,0.1246,0.0643
s010,3,14,0.0754,0.1402,0.0462,0.1731,0.1692,0.0682,0.018,0.0521,0.1367,0.2165
s010,3,15,0.0551,0.0927,0.07,0.1549,0.1466,0.0729,0.0093,0.0505,0.1282,0.0973
s010,3,16,0.0683,0.0747,0.089,0.1734,0.2508,0.083,0.4653,0.061,0.1172,0.1192
s010,3,17,0.0551,0.0415,0.0549,0.1288,0.1703,0.0668,-0.0016,0.0647,0.1111,0.2725
s010,3,18,0.0614,0.0504,0.0467,0.1198,0.1634,0.0724,0.0107,0.0584,0.152,0.1004
s010,3,19,0.0416,0.0636,0.042,0.1277,0.1487,0.089,-0.0037,0.0893,0.1314,0.1015
s010,3,20,0.0374,0.0531,0.0446,0.1201,0.1502,0.0639,0.0133,0.0528,0.1251,0.1828
s010,3,21,0.0369,0.0449,0.038,0.1264,0.1431,0.065,0.0093,0.0557,0.1272,0.2139
s010,3,22,0.0535,0.0734,0.0351,0.1309,0.1616,0.0697,0.0107,0.0605,0.1377,0.1635
s010,3,23,0.0482,0.075,0.0491,0.1523,0.3793,0.1207,0.0455,0.0397,0.1377,0.1485
