subject,sessionIndex,rep,DD.period.t,DD.t.i,DD.i.e,DD.e.five,DD.five.Shift.r,DD.Shift.r.o,DD.o.a,DD.a.n,DD.n.l,DD.l.Return
s017,4,34,0.263,0.1001,0.08,0.2129,0.3231,0.165,0.0909,0.0985,0.1596,0.1929
s017,4,35,0.1163,0.122,0.0671,0.2027,0.3313,0.1901,0.116,0.0816,0.1698,0.1699
s017,4,36,0.1143,0.1183,0.0893,0.1956,0.3339,0.193,0.1289,0.0803,0.1468,0.1947
s017,4,37,0.1187,0.107,0.0933,0.208,0.3065,0.2775,0.1925,0.1083,0.1607,0.1823
s017,4,38,0.134,0.0956,0.0905,0.175,0.3361,0.2083,0.1017,0.0711,0.1402,0.1764
s017,4,39,0.0999,0.1515,0.0793,0.1971,0.3411,0.203,0.1078,0.0621,0.1484,0.1654
s017,4,40,0.0802,0.1521,0.0837,0.2143,0.3909,0.1896,0.0946,0.0787,0.1505,0.1702
s017,4,41,0.1087,0.1114,0.0927,0.1961,0.3606,0.1816,0.1379,0.0439,0.1414,0.1809
s017,4,42,0.1139,0.151,0.0924,0.2093,0.3528,0.1769,0.121,0.0697,0.1555,0.1814
s017,4,43,0.1784,0.0372,0.3046,0.7394,0.316,0.2485,0.1271,0.065,0.1578,0.1681
s017,4,44,0.1195,0.0948,0.084,0.2008,0.3169,0.1656,0.1297,0.0492,0.1489,0.1646
s017,4,45,0.1559,0.0787,0.421,0.6554,0.3403,0.1851,0.1326,0.056,0.1529,0.1717
s017,4,46,0.1541,0.0856,0.1069,0.209,0.3496,0.1734,0.1033,0.0814,0.1333,0.177
s017,4,47,0.1499,0.1104,0.1093,0.2077,0.3804,0.1598,0.159,0.0426,0.15,0.1675
s017,4,48,0.1755,0.0471,0.3914,0.5834,0.3648,0.217,0.1279,0.0602,0.1528,0.1704
s017,4,49,0.1187,0.1244,0.071,0.1985,0.3302,0.1729,0.1304,0.0484,0.1598,0.1762
s017,4,50,0.1472,0.0882,0.1112,0.2151,0.3984,0.2104,0.102,0.0896,0.1518,0.1709
s017,5,1,0.1694,0.0985,0.1186,0.2647,0.6448,0.212,0.0772,0.0935,0.1615,0.1937
s017,5,2,0.4512,0.0707,0.131,0.2025,0.3569,0.1671,0.0898,0.0932,0.1665,0.1841
s017,5,3,0.2422,0.093,0.1157,0.2423,0.3577,0.1703,0.1192,0.06,0.1735,0.1942
s017,5,4,0.171,0.1188,0.0985,0.2494,0.3754,0.2394,0.1134,0.0521,0.1946,0.1715
s017,5,5,0.228,0.084,0.1115,0.2278,0.4344,0.2046,0.1566,0.1054,0.1895,0.1961
s017,5,6,0.389,0.0911,0.1135,0.252,0.4049,0.2012,0.1086,0.0803,0.1663,0.1979
s017,5,7,0.2092,0.1115,0.094,0.2362,0.3958,0.1896,0.1094,0.0576,0.178,0.1791
s017,5,8,0.1723,0.1053,0.0985,0.2204,0.4076,0.2193,0.1073,0.0975,0.1624,0.1809
s017,5,9,0.1654,0.0787,0.1296,0.2188,0.474,0.2001,0.121,0.036,0.1898,0.1952
s017,5,10,0.1873,0.109,0.0959,0.1921,0.3788,0.179,0.1144,0.0967,0.1615,0.1891
s017,5,11,0.1965,0.0996,0.1239,0.2227,0.392,0.1795,0.1257,0.0803,0.1655,0.1918
s017,5,12,0.1944,0.1027,0.1027,0.1921,0.3793,0.1912,0.1115,0.0795,0.1595,0.1884
s017,5,13,0.2153,0.1064,0.1038,0.1947,0.3822,0.1922,0.1202,0.07,0.1777,0.2472
s017,5,14,0.1504,0.1254,0.0875,0.1964,0.3624,0.1806,0.1179,0.0806,0.1691,0.1786
s017,5,15,0.1681,0.1064,0.0964,0.2357,0.3815,0.1857,0.1165,0.0946,0.1501,0.6042
s017,5,16,0.3498,0.1157,0.1035,0.2359,0.3986,0.4309,0.1828,0.1399,0.1815,0.2182
s017,5,17,0.191,0.0932,0.0885,0.2032,0.3596,0.1831,0.1028,0.0935,0.1612,0.1863
s017,5,18,0.1891,0.103,0.1096,0.2146,0.3736,0.1915,0.1155,0.094,0.157,0.1966
s017,5,19,0.2947,0.1022,0.1199,0.2318,0.3524,0.1664,0.1146,0.0853,0.1573,0.1917
s017,5,20,0.1628,0.119,0.0702,0.2058,0.3413,0.1798,0.1101,0.0842,0.1848,0.1762
s017,5,21,0.2116,0.1024,0.0771,0.2117,0.3577,0.1632,0.1152,0.0697,0.1766,0.1858
s017,5,22,0.176,0.0919,0.1355,0.2209,0.3574,0.1899,0.1395,0.0843,0.1881,0.191
s017,5,23,0.3747,0.1127,0.127,0.2553,0.3674,0.1998,0.1007,0.0988,0.1919,0.2071
s017,5,24,0.1947,0.1046,0.0914,0.2236,0.37,0.2257,0.1213,0.083,0.1658,0.196
s017,5,25,0.1649,0.0838,0.1103,0.2077,0.3625,0.1967,0.1204,0.0769,0.1788,0.2173
s017,5,26,0.1229,0.1396,0.0758,0.1927,0.3477,0.202,0.126,0.112,0.1739,0.2018
s017,5,27,0.1647,0.1127,0.0856,0.2085,0.3578,0.294,0.2144,0.2384,0.233,0.2184
s017,5,28,0.1079,0.1217,0.0901,0.1993,0.3575,0.1882,0.1294,0.1033,0.1647,0.1717
s017,5,29,0.1324,0.1227,0.1051,0.2154,0.3841,0.1975,0.1255,0.0729,0.1574,0.1831
s017,5,30,0.2649,0.1138,0.1037,0.247,0.3949,0.213,0.121,0.0904,0.1618,0.1854
s017,5,31,0.1377,0.1087,0.0977,0.2299,0.4255,0.206,0.1133,0.0901,0.1681,0.188
s017,5,32,0.1311,0.1188,0.0956,0.2092,0.3946,0.2107,0.13,0.0755,0.1632,0.1892
s017,5,33,0.1931,0.0808,0.1845,0.2314,0.3859,0.2691,0.1925,0.136,0.198,0.6283
s017,5,34,0.1956,0.1281,0.0882,0.2061,0.4162,0.197,0.1276,0.0776,0.1716,0.5905
s017,5,35,0.2319,0.1051,0.3168,0.2845,0.3811,0.1709,0.1212,0.0721,0.1714,0.1825
s017,5,36,0.1886,0.1478,0.0885,0.238,0.395,0.2092,0.0859,0.113,0.1684,0.1847
s017,5,37,0.1717,0.0867,0.1112,0.2096,0.3872,0.2055,0.0962,0.0842,0.1552,0.1749
s017,5,38,0.1767,0.0885,0.1169,0.2093,0.364,0.1698,0.1236,0.093,0.1705,0.1804
s017,5,39,0.2034,0.1388,0.1006,0.2467,0.3691,0.185,0.1474,0.0837,0.1759,0.1931
s017,5,40,0.1184,0.1415,0.0639,0.2006,0.4638,0.2571,0.1455,0.0779,0.1607,0.1925
s017,5,41,0.1445,0.1085,0.0948,0.2091,0.3883,0.1762,0.1452,0.0557,0.1668,0.1722
s017,5,42,0.137,0.1342,0.0655,0.2061,0.3968,0.1816,0.1017,0.0866,0.1478,0.1833
s017,5,43,0.1425,0.1383,0.0589,0.2267,0.3951,0.1854,0.1254,0.0557,0.169,0.1699
s017,5,44,0.1171,0.1365,0.061,0.2077,0.3564,0.23,0.139,0.0703,0.149,0.196
s017,5,45,0.1027,0.1555,0.3004,0.2961,0.3996,0.1912,0.1149,0.0898,0.1731,0.1891
s017,5,46,0.1485,0.1009,0.0937,0.2128,0.3836,0.2643,0.1537,0.0953,0.166,0.2015
s017,5,47,0.1211,0.1442,0.0811,0.2098,0.3322,0.1569,0.1387,0.0597,0.16,0.2028
s017,5,48,0.1187,0.1191,0.0814,0.2008,0.3305,0.1545,0.1384,0.0666,0.1734,0.2704
s017,5,49,0.1337,0.1531,0.0665,0.2169,0.3121,0.1801,0.1395,0.0613,0.1851,0.2166
s017,5,50,0.2578,0.1138,0.0932,0.1903,0.3416,0.168,0.1115,0.1141,0.1573,0.1747
s017,6,1,0.2008,0.1252,0.0689,0.2056,0.3194,0.1556,0.126,0.074,0.1657,0.1931
s017,6,2,0.2362,0.1231,0.1154,0.2116,0.3226,0.1961,0.1342,0.1141,0.1837,0.2105
s017,6,3,0.2114,0.0887,0.1238,0.2106,0.3097,0.1661,0.1168,0.0879,0.1753,0.1918
s017,6,4,0.1784,0.1202,0.0975,0.2072,0.3266,0.1685,0.1229,0.0769,0.1525,0.1952
s017,6,5,0.1873,0.0998,0.1058,0.199,0.3392,0.1648,0.116,0.0796,0.1541,0.1865
s017,6,6,0.163,0.1048,0.0972,0.1977,0.3213,0.1779,0.1194,0.0536,0.1605,0.1836
s017,6,7,0.1387,0.1156,0.0866,0.198,0.3239,0.198,0.1748,0.4737,0.19,0.2261
s017,6,8,0.1245,0.1363,0.0817,0.2083,0.3284,0.1745,0.0999,0.0811,0.1547,0.1834
s017,6,9,0.1425,0.1099,0.0972,0.1919,0.331,0.1874,0.1276,0.0542,0.1829,0.1907
s017,6,10,0.1633,0.0951,0.1032,0.1959,0.2883,0.1606,0.1873,0.0872,0.2665,0.2535
s017,6,11,0.138,0.1254,0.0882,0.1982,0.3036,0.2305,0.1086,0.0751,0.1584,0.1809
s017,6,12,0.4383,0.2141,0.1199,0.5048,0.3371,0.2112,0.1112,0.068,0.1631,0.1912
s017,6,13,0.1715,0.1025,0.1003,0.2204,0.2986,0.2234,0.1495,0.0201,0.2011,0.1933
s017,6,14,0.1401,0.127,0.071,0.1982,0.3059,0.1912,0.1181,0.094,0.1618,0.1944
s017,6,15,0.3869,0.188,0.0867,0.298,0.3402,0.2096,0.0864,0.1136,0.161,0.1875
s017,6,16,0.1285,0.1373,0.0698,0.2346,0.3502,0.2323,0.1059,0.084,0.1615,0.1894
s017,6,17,0.1171,0.1341,0.0769,0.2133,0.3131,0.202,0.1123,0.0864,0.1523,0.2041
s017,6,18,0.1757,0.0927,0.1172,0.2027,0.3105,0.1919,0.1282,0.0696,0.1412,0.1929
s017,6,19,0.1255,0.1183,0.0935,0.2111,0.2867,0.2165,0.1323,0.0621,0.2049,0.2796
s017,6,20,0.2052,0.1209,0.0716,0.2239,0.2894,0.1866,0.1117,0.0766,0.1589,0.1754
s017,6,21,0.0992,0.1532,0.046,0.2104,0.2949,0.2014,0.1141,0.087,0.1576,0.1863
s017,6,22,0.1823,0.1283,0.0953,0.2607,0.3361,0.1861,0.1078,0.0856,0.1695,0.1802
s017,6,23,0.1362,0.116,0.0924,0.204,0.2883,0.2131,0.1184,0.0766,0.1641,0.1867
s017,6,24,0.1185,0.1167,0.0877,0.2112,0.3278,0.197,0.1107,0.0864,0.1689,0.8707
s017,6,25,0.2217,0.1088,0.0858,0.2093,0.2986,0.1873,0.121,0.0858,0.3624,0.2487
s017,6,26,0.2113,0.0964,0.1051,0.1977,0.2757,0.1996,0.1671,0.155,0.1887,0.2018
s017,6,27,0.2417,0.1172,0.0766,0.2191,0.2816,0.282,0.1688,0.1007,0.1684,0.1918
s017,6,28,0.1057,0.1513,0.0642,0.2058,0.2974,0.17,0.1395,0.0365,0.1764,0.1826
s017,6,29,0.0744,0.16,0.0602,0.2341,0.2814,0.18,0.127,0.0415,0.1415,0.1844
s017,6,30,0.1137,0.1307,0.0583,0.2328,0.2749,0.209,0.1157,0.055,0.1254,0.1899
s017,6,31,0.224,0.1111,0.0808,0.2067,0.2978,0.1914,0.0993,0.0808,0.1663,0.1757
s017,6,32,0.0897,0.2223,0.2154,0.3001,0.3825,0.2215,0.1123,0.1444,0.2972,0.2654
s017,6,33,0.0915,0.1671,0.0669,0.2098,0.3255,0.199,0.1173,0.0742,0.1351,0.1981
s017,6,34,0.1137,0.1352,0.0763,0.2175,0.3113,0.1959,0.1323,0.0568,0.1478,0.2102
s017,6,35,0.1267,0.1255,0.0932,0.2112,0.317,0.1943,0.1324,0.0515,0.1524,0.1889
s017,6,36,0.1069,0.1355,0.0692,0.2093,0.3041,0.1876,0.1154,0.0859,0.1394,0.1867
s017,6,37,0.1229,0.1359,0.0618,0.2114,0.3107,0.1945,0.1453,0.0323,0.2199,0.2372
s017,6,38,0.219,0.1349,0.0888,0.2078,0.3342,0.1674,0.1287,0.0645,0.1508,0.1934
s017,6,39,0.1321,0.1093,0.108,0.2005,0.3155,0.1777,0.1279,0.0573,0.1497,0.2015
s017,6,40,0.1335,0.1172,0.088,0.2074,0.3344,0.1769,0.1313,0.0718,0.1494,0.1945
s017,6,41,0.1296,0.1354,0.0816,0.2101,0.3234,0.1999,0.1228,0.0658,0.1489,0.2689
s017,6,42,0.168,0.1268,0.09,0.2222,0.3364,0.197,0.1199,0.0838,0.1462,0.1929
s017,6,43,0.1319,0.1114,0.0919,0.2098,0.3305,0.2358,0.1403,0.0687,0.1523,0.1847
s017,6,44,0.12,0.1278,0.0644,0.2257,0.3208,0.1658,0.1276,0.0681,0.1429,0.2023
s017,6,45,0.115,0.1246,0.0769,0.2217,0.315,0.1507,0.1685,0.018,0.2217,0.6076
s017,6,46,0.1915,0.1304,0.0755,0.2074,0.3221,0.2001,0.1437,0.1194,0.1668,0.1759
s017,6,47,0.1168,0.1392,0.0766,0.1921,0.3133,0.18,0.1112,0.07,0.1576,0.1989
s017,6,48,0.0994,0.1378,0.0795,0.1934,0.3839,0.1933,0.1068,0.0761,0.1518,0.2097
s017,6,49,0.1274,0.1376,0.0734,0.2003,0.3466,0.1919,0.1355,0.0776,0.1824,0.1957
s017,6,50,0.1108,0.1418,0.065,0.2048,0.4197,0.2514,0.1258,0.0982,0.1969,0.2047
s017,7,1,0.1694,0.1151,0.0996,0.2428,0.3448,0.1481,0.0967,0.073,0.1441,0.1611
s017,7,2,0.1267,0.0982,0.0954,0.1779,0.3174,0.1561,0.1144,0.0286,0.2239,0.263
s017,7,3,0.1195,0.1032,0.0896,0.1718,0.3297,0.1532,0.1231,0.0521,0.1508,0.1635
s017,7,4,0.1403,0.1246,0.0663,0.1839,0.2956,0.1927,0.1286,0.0515,0.1798,0.1699
s017,7,5,0.2419,0.1288,0.0864,0.2399,0.3332,0.193,0.1286,0.0433,0.1869,0.1728
s017,7,6,0.1187,0.1117,0.0927,0.1887,0.3579,0.1996,0.1331,0.116,0.1748,0.1976
s017,7,7,0.1264,0.1265,0.0802,0.1768,0.3137,0.1801,0.1566,0.0177,0.1687,0.1815
s017,7,8,0.2153,0.2489,0.1568,0.2499,0.3234,0.1629,0.1387,0.0344,0.1584,0.1749
s017,7,9,0.1093,0.1236,0.0832,0.1861,0.3213,0.1987,0.1289,0.0473,0.1703,0.1723
s017,7,10,0.2243,0.1175,0.0711,0.1816,0.3031,0.1805,0.129,0.0711,0.147,0.1752
s017,7,11,0.1736,0.1534,0.0631,0.2359,0.3218,0.2083,0.1413,0.0283,0.1623,0.171
s017,7,12,0.1182,0.1165,0.083,0.1821,0.326,0.3804,0.2349,0.1389,0.1674,0.1773
s017,7,13,0.1414,0.1093,0.0879,0.1774,0.3216,0.2131,0.1154,0.0481,0.1563,0.1746
s017,7,14,0.12,0.1247,0.0755,0.2003,0.3241,0.2152,0.1308,0.078,0.1377,0.1781
s017,7,15,0.1303,0.1309,0.0773,0.2099,0.3513,0.1954,0.1476,0.0191,0.1462,0.1717
s017,7,16,0.1398,0.1107,0.0805,0.204,0.3588,0.1864,0.1283,0.083,0.1602,0.2023
s017,7,17,0.0997,0.1597,0.0727,0.2594,0.359,0.1949,0.1231,0.0668,0.1307,0.1843
s017,7,18,0.1035,0.1384,0.0637,0.1946,0.3274,0.2083,0.1279,0.0552,0.1423,0.1749
s017,7,19,0.0918,0.1653,0.0436,0.2462,0.3651,0.1648,0.1429,0.079,0.1475,0.1799
s017,7,20,0.1167,0.1262,0.0731,0.1917,0.3535,0.1956,0.1157,0.0732,0.1452,0.1701
s017,7,21,0.1034,0.1344,0.0605,0.1956,0.3604,0.1859,0.1128,0.0771,0.1476,0.1762
s017,7,22,0.0918,0.1447,0.0603,0.203,0.3593,0.1851,0.1038,0.0729,0.1368,0.1873
s017,7,23,0.0717,0.1476,0.0531,0.2173,0.3506,0.1868,0.1144,0.0713,0.1407,0.1778
s017,7,24,0.0949,0.1526,0.061,0.2048,0.3236,0.2273,0.1191,0.0684,0.1199,0.186
s017,7,25,0.2061,0.1114,0.0861,0.1858,0.3218,0.1941,0.1207,0.0367,0.1628,0.1823
s017,7,26,0.1612,0.1225,0.1038,0.2046,0.3166,0.1858,0.1025,0.0671,0.1507,0.186
s017,7,27,0.2081,0.1769,0.089,0.2402,0.3398,0.1995,0.1247,0.0521,0.1491,0.1839
s017,7,28,0.152,0.1173,0.0896,0.2014,0.3815,0.226,0.1226,0.0544,0.143,0.1836
s017,7,29,0.1045,0.1349,0.0774,0.2032,0.4212,0.2197,0.1041,0.08,0.1544,0.1878
s017,7,30,0.1235,0.1246,0.0847,0.1979,0.3617,0.182,0.1332,0.0513,0.1562,0.6678
s017,7,31,0.1942,0.1552,0.0423,0.2236,0.3381,0.196,0.1215,0.0507,0.1558,0.1873
s017,7,32,0.0942,0.1529,0.0573,0.1942,0.3429,0.1856,0.1276,0.0394,0.1607,0.1696
s017,7,33,0.09,0.1534,0.0452,0.2292,0.3466,0.1967,0.1395,0.0246,0.2017,0.1725
s017,7,34,0.1245,0.1272,0.0669,0.1935,0.3447,0.1759,0.1234,0.0441,0.1394,0.1733
s017,7,35,0.167,0.1938,0.0959,0.3542,0.3654,0.1928,0.1305,0.0436,0.171,0.1815
s017,7,36,0.1069,0.1457,0.0703,0.2146,0.3329,0.2452,0.1236,0.0336,0.1582,0.1677
s017,7,37,0.1055,0.1172,0.075,0.2058,0.3408,0.189,0.1365,0.0077,0.1563,0.1828
s017,7,38,0.1013,0.1402,0.0655,0.1953,0.3178,0.1798,0.1226,0.0373,0.1318,0.1881
s017,7,39,0.2697,0.1853,0.1157,0.1979,0.3221,0.1751,0.1001,0.0584,0.1494,0.1823
s017,7,40,0.0878,0.1476,0.0468,0.2116,0.341,0.1978,0.1112,0.041,0.1473,0.1691
s017,7,41,0.0821,0.1455,0.0579,0.2223,0.3606,0.1835,0.1017,0.0618,0.1534,0.1842
s017,7,42,0.2907,0.1194,0.0919,0.2272,0.3694,0.1779,0.1018,0.0735,0.1534,0.2103
s017,7,43,0.1258,0.1249,0.0806,0.1893,0.3807,0.3711,0.2395,0.1529,0.1748,0.5728
s017,7,44,0.1823,0.1161,0.089,0.2085,0.3788,0.2045,0.1131,0.0679,0.146,0.1923
s017,7,45,0.0997,0.1236,0.0663,0.2136,0.3695,0.1885,0.1418,0.0146,0.1642,0.1796
s017,7,46,0.3647,0.1093,0.085,0.2178,0.3477,0.1906,0.1086,0.0536,0.1394,0.181
s017,7,47,0.1148,0.15,0.0647,0.1964,0.3582,0.2001,0.1028,0.0592,0.1479,0.178
s017,7,48,0.177,0.1368,0.0906,0.2011,0.3606,0.1571,0.1279,0.0338,0.1446,0.177
s017,7,49,0.1628,0.097,0.1141,0.2109,0.364,0.1772,0.1609,0.0634,0.1454,0.1813
s017,7,50,0.1409,0.7946,0.1072,0.2618,0.3522,0.1634,0.11,0.0381,0.1458,0.1741
s017,8,1,0.177,0.0987,0.0917,0.2212,0.3765,0.1381,0.0983,0.0663,0.1523,0.1884
s017,8,2,0.114,0.3574,0.0861,0.2269,0.324,0.1447,0.1026,0.0346,0.1927,0.1778
s017,8,3,0.1715,0.1054,0.0953,0.1893,0.3079,0.1682,0.115,0.0423,0.1843,0.1844
s017,8,4,0.1498,0.1172,0.0843,0.195,0.3416,0.1595,0.1408,0.0827,0.1789,0.2118
s017,8,5,0.1161,0.1333,0.0665,0.2074,0.3358,0.15,0.1479,0.0243,0.1629,0.1793
s017,8,6,0.1844,0.1152,0.0977,0.194,0.3451,0.1893,0.1123,0.0579,0.1397,0.2113
s017,8,7,0.1454,0.0951,0.1046,0.1921,0.3603,0.1817,0.1249,0.0682,0.1766,0.2342
s017,8,8,0.2031,0.1101,0.0901,0.1945,0.3493,0.1991,0.127,0.0544,0.1661,0.173
s017,8,9,0.1182,0.1262,0.079,0.189,0.3914,0.2062,0.1139,0.0597,0.1586,0.1833
s017,8,10,0.1945,0.1779,0.1035,0.2365,0.3853,0.1622,0.1123,0.0542,0.1742,0.1838
s017,8,11,0.1287,0.1123,0.0795,0.1789,0.3503,0.2067,0.106,0.0856,0.1422,0.1718
s017,8,12,0.0936,0.1381,0.0768,0.1829,0.344,0.1653,0.1487,0.0486,0.1721,0.1693
s017,8,13,0.1285,0.0996,0.1072,0.1906,0.3469,0.1938,0.1175,0.1043,0.1457,0.1772
s017,8,14,0.1287,0.1196,0.0822,0.2035,0.3451,0.2218,0.1305,0.0742,0.1589,0.1797
s017,8,15,0.1142,0.1262,0.0827,0.1937,0.4517,0.2015,0.1036,0.0769,0.1472,0.1801
s017,8,16,0.0976,0.132,0.07,0.1826,0.4287,0.2012,0.098,0.0908,0.1497,0.183
s017,8,17,0.2045,0.0885,0.1257,0.1858,0.3667,0.1841,0.155,0.0589,0.1618,0.182
s017,8,18,0.1153,0.1102,0.0869,0.1874,0.4029,0.222,0.0914,0.0943,0.1491,0.1859
s017,8,19,0.1583,0.0937,0.1038,0.2006,0.4311,0.1879,0.1138,0.0695,0.1388,0.1894
s017,8,20,0.1387,0.1262,0.0734,0.1847,0.3973,0.2086,0.0859,0.1117,0.1415,0.1852
s017,8,21,0.1623,0.1154,0.0832,0.1927,0.3327,0.2257,0.088,0.089,0.1312,0.1947
s017,8,22,0.1367,0.1288,0.0805,0.213,0.3411,0.1825,0.0894,0.1069,0.1402,0.1833
s017,8,23,0.261,0.1207,0.0972,0.184,0.3147,0.1803,0.0777,0.1077,0.1302,0.5897
s017,8,24,0.2063,0.1204,0.0856,0.2322,0.3862,0.1669,0.115,0.0737,0.1454,0.3986
s017,8,25,0.1941,0.1128,0.0898,0.2037,0.4904,0.1563,0.1022,0.0772,0.1433,0.2008
s017,8,26,0.1428,0.1001,0.1136,0.199,0.3445,0.1727,0.1028,0.099,0.1486,0.1941
s017,8,27,0.1087,0.1196,0.0811,0.191,0.3756,0.1893,0.0967,0.0935,0.1446,0.1942
s017,8,28,0.1237,0.1159,0.089,0.1861,0.36,0.1935,0.1158,0.0706,0.1415,0.1978
s017,8,29,0.1628,0.132,0.051,0.2041,0.3189,0.1859,0.0985,0.0872,0.1623,0.1891
s017,8,30,0.118,0.1191,0.0795,0.18,0.3875,0.2252,0.1189,0.1165,0.1496,0.1904
s017,8,31,0.1221,0.1635,0.0837,0.2077,0.306,0.1967,0.1136,0.0647,0.1431,0.2007
s017,8,32,0.1485,0.1811,0.4705,0.2816,0.3403,0.211,0.0928,0.1086,0.1418,0.1947
s017,8,33,0.114,0.1315,0.0663,0.2072,0.34,0.1982,0.0901,0.0805,0.1412,0.2248
s017,8,34,0.0818,0.1534,0.0462,0.1977,0.3764,0.1652,0.1007,0.0996,0.148,0.2261
s017,8,35,0.2021,0.1412,0.0896,0.2241,0.3646,0.1743,0.0854,0.1051,0.1721,0.1937
s017,8,36,0.085,0.1519,0.0507,0.2136,0.3685,0.1996,0.0766,0.1297,0.1505,0.182
s017,8,37,0.1153,0.1202,0.0879,0.199,0.367,0.191,0.0738,0.1297,0.1198,0.1905
s017,8,38,0.0929,0.1487,0.0557,0.2017,0.3839,0.2241,0.0909,0.1069,0.1323,0.1783
s017,8,39,0.0968,0.142,0.0626,0.198,0.3464,0.1706,0.1049,0.0788,0.127,0.1978
s017,8,40,0.2742,0.1713,0.1441,0.2581,0.3379,0.1692,0.0856,0.0977,0.1586,0.2068
s017,8,41,0.0952,0.1497,0.0882,0.1837,0.3239,0.1733,0.1163,0.0912,0.1407,0.1838
s017,8,42,0.1032,0.1462,0.0687,0.2013,0.3411,0.2044,0.084,0.104,0.1272,0.1954
s017,8,43,0.1123,0.1408,0.0568,0.2035,0.4722,0.2059,0.074,0.1181,0.1402,0.2092
s017,8,44,0.1145,0.1307,0.0898,0.2099,0.374,0.2072,0.0886,0.0925,0.1537,0.1899
s017,8,45,0.0778,0.1533,0.066,0.2114,0.3574,0.2389,0.1226,0.1119,0.1629,0.2406
s017,8,46,0.2113,0.1262,0.0766,0.2109,0.3488,0.1862,0.0619,0.1154,0.1596,0.1899
s017,8,47,0.0828,0.1629,0.0623,0.1877,0.3735,0.1656,0.0843,0.0814,0.1386,0.1799
s017,8,48,0.0672,0.1701,0.0507,0.2242,0.3474,0.1911,0.0793,0.0954,0.1333,0.1834
s017,8,49,0.0918,0.1442,0.0524,0.2125,0.372,0.2455,0.1041,0.0851,0.1372,0.2437
s017,8,50,0.3317,0.166,0.1077,0.228,0.3316,0.1845,0.0771,0.0858,0.1251,0.1923
s018,1,1,0.1741,0.1365,0.1323,1.2326,0.4018,0.6952,0.5503,0.3684,0.1356,0.4443
s018,1,2,0.2795,0.1811,0.1318,0.8136,0.7024,0.3431,0.6852,0.4371,0.2573,0.2364
s018,1,3,0.2412,0.1051,0.1262,0.9981,0.5891,0.3287,0.7102,0.1189,0.1932,0.1907
s018,1,4,0.3562,0.1286,0.5827,0.3465,0.6358,0.649,0.2619,0.1183,0.1433,0.2326
s018,1,5,0.1902,0.1847,0.0819,0.2987,0.4094,0.2315,0.3617,0.1418,0.4014,0.2266
s018,1,6,0.196,0.2589,0.1088,0.3526,0.5371,0.4486,0.1398,0.1249,0.6788,0.2116
s018,1,7,0.1921,0.0787,0.1911,0.9241,0.5732,0.4331,0.1616,0.051,0.1498,0.1915
s018,1,8,0.2126,0.1144,0.1027,0.3549,0.5298,0.2782,0.2337,0.0592,0.5492,0.2274
s018,1,9,0.1295,0.1436,0.123,0.4764,0.4377,0.2259,0.168,0.1233,0.44,0.2823
s018,1,10,0.1541,0.0911,0.0992,0.326,0.5722,0.35,0.1461,0.2387,0.0874,0.225
s018,1,11,0.1401,0.1465,0.1051,0.3655,0.6364,0.2468,0.1191,0.1165,0.4961,0.2237
s018,1,12,0.1989,0.1312,0.2624,0.4083,0.6321,0.3463,0.1498,0.1711,0.3626,0.2683
s018,1,13,0.1538,0.1286,0.0914,0.3161,0.4682,0.2669,0.1521,0.1004,0.4547,0.2089
s018,1,14,0.1356,0.1135,0.1066,0.4225,0.9829,0.2978,0.2038,0.1262,0.0844,0.3562
s018,1,15,0.1675,1.0696,0.1262,0.4752,0.6057,0.316,0.0666,0.3437,0.0771,0.2926
s018,1,16,0.2367,0.0995,0.0978,0.3457,0.6347,0.2418,0.131,0.1486,0.0744,0.2673
s018,1,17,0.1599,0.1112,0.0966,0.4426,0.3783,0.4083,0.1674,0.0922,0.0745,0.2417
s018,1,18,0.1638,0.2394,0.094,0.293,0.4294,0.2022,0.3867,0.0965,0.1233,0.2625
s018,1,19,0.1617,0.1444,0.1035,0.4515,0.4362,0.1468,0.1495,0.1463,0.0681,0.3496
s018,1,20,0.1079,0.1323,0.0668,0.3724,0.5326,0.2334,0.3595,0.1186,0.0821,0.3
s018,1,21,0.1158,0.1362,0.0771,0.431,0.4186,0.3305,0.1244,0.1059,0.462,0.2202
s018,1,22,0.1549,0.1541,0.0714,0.3016,0.4403,0.4967,0.3569,0.2933,0.0813,0.2778
s018,1,23,0.1329,0.1238,0.1119,0.4845,0.6268,0.2592,0.1215,0.1787,0.1378,0.5755
s018,1,24,0.1494,0.1257,0.0972,0.264,0.5545,0.2498,0.1672,0.0914,0.0541,0.3646
s018,1,25,0.225,0.1094,0.1059,0.3927,0.4203,0.2002,0.1207,0.1325,0.0489,0.2668
s018,1,26,0.1345,0.1431,0.0703,0.2283,0.4622,0.232,0.0891,0.1679,0.0296,0.3004
s018,1,27,0.2768,0.2059,0.099,0.5843,0.3184,0.2228,0.2537,0.1397,0.4658,0.4981
s018,1,28,0.1211,0.128,0.0898,0.28,0.5694,0.2191,0.1347,0.1523,0.0261,0.433
s018,1,29,0.1425,0.1829,0.0718,0.3473,0.4553,0.2558,0.3149,0.1611,0.3892,0.2187
s018,1,30,0.143,0.1795,0.0703,0.3639,0.3851,0.1444,0.1273,0.1183,0.137,0.4084
s018,1,31,0.1844,0.1597,0.1014,0.3457,0.4118,0.2822,0.1804,0.1418,0.0842,0.3538
